"gene_id"	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000177283"	"FZD8"	8669.61088312711	6.02606246400567	0.231134063478182	26.0717194745053	7.63220996878119e-150	1.63741432670232e-145
"ENSG00000225630"	"MTND2P28"	1148.90024372485	-6.41592314833979	0.252708095456359	-25.3886727955962	3.36386346748762e-142	3.60841634157397e-138
"ENSG00000148798"	"INA"	7808.46380487416	6.32914698302433	0.259042773062523	24.4328259314021	7.66261787499737e-132	5.47979346300645e-128
"ENSG00000175899"	"A2M"	2736.86314658919	-8.12427775587518	0.34906137219608	-23.2746399430055	8.01076007853609e-120	4.29657116812283e-116
"ENSG00000104722"	"NEFM"	6855.78536185245	5.88217285745252	0.258763011083029	22.7318921388077	2.16788996075539e-114	9.30198224360923e-111
"ENSG00000111981"	"ULBP1"	13873.8755027363	6.73336353836264	0.306615772299234	21.9602647569982	6.90953172581611e-107	2.47061822742765e-103
"ENSG00000108551"	"RASD1"	11658.5938768348	7.78821458260111	0.363025415631271	21.4536345039591	4.2232979634905e-102	1.29438049298179e-98
"ENSG00000179388"	"EGR3"	5537.46112486115	8.6862769524187	0.418886627905053	20.7365821054273	1.6203824478101e-95	4.34546062941475e-92
"ENSG00000204388"	"HSPA1B"	9086.99977109323	3.67626052249638	0.190699856262742	19.277730956605	8.26221225304896e-83	1.96952779641014e-79
"ENSG00000170345"	"FOS"	4993.73380836288	6.20320070199374	0.327436800272736	18.9447267284155	4.88118459736814e-80	1.04720934351936e-76
"ENSG00000153094"	"BCL2L11"	4540.24788367629	5.84937649727247	0.326746992586791	17.9018525953801	1.14063655918061e-71	2.2246560673328e-68
"ENSG00000120875"	"DUSP4"	2622.41042948434	4.70238427347616	0.266206224700186	17.6644414636518	7.87888084381533e-70	1.40861258019345e-66
"ENSG00000001617"	"SEMA3F"	1569.55996432867	3.58294312865884	0.205107575731085	17.4686045402653	2.48498545179061e-68	4.10099060636275e-65
"ENSG00000115844"	"DLX2"	1482.1928910644	5.6165620876391	0.322780596369917	17.4005567583819	8.17049192291231e-68	1.25206952652972e-64
"ENSG00000162772"	"ATF3"	4689.01036743392	6.01844581114222	0.3532419164519	17.0377453264716	4.31031020097177e-65	6.16489300344322e-62
"ENSG00000278828"	"H3C10"	1540.96450938338	5.56971283403011	0.327675493972182	16.9976483944904	8.54808687665821e-65	1.14619159907391e-61
"ENSG00000205002"	"AARD"	208.257286316862	-4.86829775673209	0.296035060903498	-16.4450039866023	9.10783844277786e-61	1.14940921147857e-57
"ENSG00000106236"	"NPTX2"	2542.8152124396	6.46568667633226	0.398021805438632	16.2445539113287	2.44110611401296e-59	2.90952725389078e-56
"ENSG00000124212"	"PTGIS"	789.711314026764	-3.88356907777047	0.23952043524843	-16.2139362920849	4.01976972885932e-59	4.53895472436568e-56
"ENSG00000092068"	"SLC7A8"	7104.98587258623	4.186304785177	0.261229833846953	16.0253701636148	8.49833111385426e-58	9.11615978583146e-55
"ENSG00000184678"	"H2BC21"	2894.26960047719	4.95214988366262	0.31081791195606	15.9326399579015	3.76135706777596e-57	3.84267402533645e-54
"ENSG00000204389"	"HSPA1A"	11135.5659121466	3.38131707207761	0.212486984141365	15.9130550313052	5.14408796031518e-57	5.01642105002736e-54
"ENSG00000176692"	"FOXC2"	1116.65300679594	4.09145103537291	0.257862202141176	15.8668118142142	1.07567917045801e-56	1.0033748227394e-53
"ENSG00000171766"	"GATM"	952.433570983342	7.15193020270515	0.451417797800989	15.8432614698504	1.56489321223124e-56	1.39888412396704e-53
"ENSG00000143434"	"SEMA6C"	1838.84795194062	3.94334361962696	0.249553494038332	15.8015965066843	3.03336075613887e-56	2.60310886648813e-53
"ENSG00000106537"	"TSPAN13"	3476.82851346211	3.43478874831747	0.218254417306705	15.7375451580927	8.36254767230259e-56	6.90038837544537e-53
"ENSG00000158158"	"CNNM4"	4093.52818990413	3.32954299167196	0.21214322232176	15.6947884322319	1.64189133595556e-55	1.30463469339224e-52
"ICP4"	"ICP4"	113568.180547833	18.8156092910392	1.21123552089645	15.5342284522118	2.03506764843573e-54	1.55929790462643e-51
"ENSG00000122877"	"EGR2"	3192.02166571992	4.98858672470283	0.321935108269812	15.4956281454147	3.71313950193022e-54	2.74695499566935e-51
"ENSG00000157766"	"ACAN"	1235.46387573444	-5.3837676751086	0.347749190269588	-15.4817547409238	4.60732313117735e-54	3.29485034854263e-51
"ENSG00000118785"	"SPP1"	6237.12646934834	5.63101989739073	0.365681353384271	15.398706675299	1.66975633831643e-53	1.15557911233034e-50
"ENSG00000162413"	"KLHL21"	21651.3489212857	3.30688612000843	0.217333318967397	15.2157346867947	2.78080027062275e-52	1.86435278143564e-49
"ENSG00000180573"	"H2AC6"	3901.21686443239	4.03677359704875	0.265780674488589	15.1883638824239	4.2232977665018e-52	2.74565546310696e-49
"ENSG00000204291"	"COL15A1"	5399.50570033137	-4.59553285245797	0.304030216690332	-15.1153819593489	1.2822542242034e-51	8.09102415472344e-49
"ENSG00000158406"	"H4C8"	1428.63783984945	4.72651154558018	0.315792527958609	14.9671418007702	1.20384906456191e-50	7.37925080888892e-48
"ENSG00000166016"	"ABTB2"	5610.81832880088	3.59215287768547	0.240653997405067	14.9266287550553	2.21168474718429e-50	1.318041237947e-47
"ENSG00000084710"	"EFR3B"	1480.34732821267	3.44455056713149	0.232499242229817	14.815319542963	1.1663330670718e-49	6.76284043809684e-47
"ENSG00000165731"	"RET"	863.70156199121	5.61802910429367	0.382281080168363	14.696068928704	6.83119362754813e-49	3.85674810751099e-46
"ENSG00000106003"	"LFNG"	2240.12217074701	3.55287343998503	0.243438931477244	14.5945162444863	3.04363972775767e-48	1.67431401844392e-45
"ENSG00000163235"	"TGFA"	676.967585710431	3.41182736721672	0.234153490059398	14.5709011911428	4.30178488466563e-48	2.30726232289041e-45
"ENSG00000273802"	"H2BC8"	709.611977977912	5.41610600712347	0.371815687837953	14.5666419795712	4.57849877779694e-48	2.39578323850867e-45
"ENSG00000133874"	"RNF122"	653.404193822708	3.92138278509148	0.272734671576526	14.3780134825696	7.1106369500572e-47	3.63218107444112e-44
"ENSG00000166592"	"RRAD"	1623.8053712477	6.49798100856107	0.459612741229972	14.1379479410684	2.21654002868087e-45	1.10589883198417e-42
"ENSG00000115738"	"ID2"	9060.44593729996	2.51618168481933	0.179394439666017	14.0259736561722	1.08118021485214e-44	5.27173643850859e-42
"ENSG00000125398"	"SOX9"	2468.57513945513	3.93096350230298	0.280651623780115	14.0065589122791	1.42126434465447e-44	6.77595672227047e-42
"ENSG00000154928"	"EPHB1"	1192.79186735644	3.35140572829452	0.239323534671569	14.0036613319027	1.48043006200256e-44	6.90459707613107e-42
"ENSG00000130222"	"GADD45G"	860.817911799664	6.64738249489169	0.478780128631174	13.8839983060627	7.91998449023875e-44	3.61522015433154e-41
"ENSG00000164308"	"ERAP2"	705.140441458822	-3.94075217719635	0.283901705695849	-13.8806921484937	8.29391583496388e-44	3.7070347984024e-41
"ENSG00000288649"	"ACTL10"	1088.0843894554	4.88326033166328	0.353435928585963	13.8165362848095	2.02585633504956e-43	8.86994322697005e-41
"ENSG00000143816"	"WNT9A"	1175.43324711784	4.40920477480564	0.320580015066616	13.7538354469458	4.82995411773731e-43	2.07243671283873e-40
"ENSG00000120738"	"EGR1"	30848.8458342943	4.05050845648948	0.295195591032255	13.7214395456431	7.55503289524958e-43	3.17815050460165e-40
"ENSG00000168621"	"GDNF"	3541.68171428997	4.60615504475175	0.336025301028061	13.707762572221	9.12278479461728e-43	3.76385048045614e-40
"ENSG00000050628"	"PTGER3"	1201.02123351099	6.87364067941559	0.504900797679243	13.6138439689737	3.31347293422281e-42	1.34126883643049e-39
"ENSG00000171385"	"KCND3"	318.333553424151	-4.34834674781739	0.320296922241064	-13.5759866732179	5.55900376012366e-42	2.20857160499431e-39
"ENSG00000138166"	"DUSP5"	11380.0927349899	3.33723425092682	0.245870027164048	13.5731642015078	5.77731182932741e-42	2.25357178157073e-39
"ENSG00000155511"	"GRIA1"	1187.04630813608	-4.02048650682062	0.296924292305041	-13.5404431736095	9.02428333015851e-42	3.45726740295037e-39
"ENSG00000148842"	"CNNM2"	3138.1671719442	3.65502543038742	0.270266553333106	13.5237800804844	1.13206014883256e-41	4.26091551457083e-39
"ENSG00000143786"	"CNIH3"	1526.01078029188	2.73472194627824	0.203003364835292	13.4713133868351	2.30725002248325e-41	8.53443827281994e-39
"ENSG00000163251"	"FZD5"	1005.67739755079	4.2488795544259	0.317192170187241	13.395285110341	6.44281517177132e-41	2.34278231686749e-38
"ENSG00000168389"	"MFSD2A"	968.039832580837	3.27079933727708	0.244218837902206	13.3929035342754	6.65281794675331e-41	2.37882593716076e-38
"ENSG00000158050"	"DUSP2"	1118.47540713781	5.61354633726158	0.41931079610247	13.3875549817462	7.1495824875774e-41	2.51454332276206e-38
"ENSG00000221890"	"NPTXR"	3367.667925528	3.48050460660142	0.260006748700122	13.3862087195885	7.28032633637793e-41	2.51922776162342e-38
