"gene_id"	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSG00000164764"	"SBSPON"	167.269920655141	-6.15619204492907	0.307224207354009	3.09661777152129e-91	6.44901617097025e-87
"ENSG00000187653"	"TMSB4XP8"	1013.37055101616	-4.68994048167337	0.295479851508122	5.35666778632892e-58	5.5778981659043e-54
"ENSG00000162618"	"ADGRL4"	1282.55944999672	2.32604988474327	0.169574830453535	1.31953135344523e-44	9.1601866556168e-41
"ENSG00000214078"	"CPNE1"	2810.57200390297	1.83332815312516	0.133908493212403	7.04278951386432e-44	3.66682836039346e-40
"ENSG00000053328"	"METTL24"	53.9864485596477	-4.34767214427621	0.332712319550034	2.50158401614287e-40	1.04195977440383e-36
"ENSG00000092068"	"SLC7A8"	6156.1757313378	4.09428676319329	0.316629459198688	1.23698685896464e-39	4.29358138746628e-36
"ENSG00000204792"	"LINC01291"	228.767766455756	3.6932671708955	0.288902288072316	4.80892617917229e-39	1.43072423724917e-35
"ENSG00000198948"	"MFAP3L"	662.889345592678	4.12216810274123	0.322685769943261	9.52672056396517e-39	2.48004353081423e-35
"ENSG00000180574"	"EIF2S3B"	50.3589594603421	-4.04919692747814	0.331453161571165	9.65154799720998e-36	2.23336820655439e-32
"ENSG00000164308"	"ERAP2"	416.915718512421	-3.76521455074535	0.320491243649096	1.85172335187511e-33	3.85639905261511e-30
"ENSG00000166923"	"GREM1"	112093.947954734	2.22277994356975	0.193516205860825	3.2563666760028e-32	6.16519021767585e-29
"ENSG00000162551"	"ALPL"	215.57773135748	-3.59441666971051	0.316506910777044	1.3355646900455e-31	2.31787251957397e-28
"ENSG00000178726"	"THBD"	404.888598076423	4.34667870238351	0.382609580713765	3.00300324677763e-31	4.81081120133776e-28
"ENSG00000108798"	"ABI3"	49.42790072028	-5.3171836177636	0.482746826596074	1.00587333294223e-29	1.49630843084678e-26
"ENSG00000101134"	"DOK5"	648.892421125796	2.18109074729648	0.200599168030268	3.63559649010524e-29	5.04766216686211e-26
"ENSG00000251493"	"FOXD1"	1265.5882829821	2.28652408563451	0.211440681782376	5.36344284731704e-29	6.98119129613904e-26
"ICP4"	"ICP4"	39692.6770020103	17.172888809326	1.57740912752579	1.05593129442915e-28	1.29357794928126e-25
"ENSG00000176692"	"FOXC2"	428.599163899854	2.79156212065956	0.261627379930216	1.28890912727465e-28	1.49126786025676e-25
"ENSG00000125637"	"PSD4"	760.850496506433	2.42650382719612	0.232906994930616	2.79327474322812e-27	3.06172314749836e-24
"ENSG00000130720"	"FIBCD1"	1513.54771623599	2.78863940516621	0.270434450880125	5.73629781991079e-27	5.9732069198731e-24
"ENSG00000074410"	"CA12"	1091.14159142952	2.38315143866414	0.232352219311395	1.63997427251815e-26	1.62638591426014e-23
"ENSG00000258289"	"CHURC1"	2638.22061576716	1.81170119836253	0.175057046316194	2.65275738038896e-26	2.51119660018093e-23
"ENSG00000106565"	"TMEM176B"	481.851650157941	-8.54252801955177	0.929524904752262	1.54362793621087e-23	1.3977215391099e-20
"ENSG00000142910"	"TINAGL1"	102.962898326385	-2.77358430154524	0.293082675845498	2.77332684313262e-23	2.40655436812833e-20
"ENSG00000095303"	"PTGS1"	6950.70621317329	1.75947162780915	0.182691115240151	4.15919550321138e-23	3.46477622199521e-20
"ENSG00000143198"	"MGST3"	3889.29055314229	1.90652554851569	0.199097425647775	4.91494083767141e-23	3.9368676109748e-20
"ENSG00000164176"	"EDIL3"	758.452027774347	3.3439471982232	0.35508736583701	5.8403925210207e-23	4.50488943121397e-20
"ENSG00000089472"	"HEPH"	786.694242843168	1.61159204979711	0.168986988349547	1.36348353918583e-22	1.01413957811015e-19
"ENSG00000150540"	"HNMT"	280.559932243306	-2.50461827128924	0.271550617015062	3.49571478886259e-22	2.51040538596043e-19
"ENSG00000290770"	"MFSD14CP"	459.272283595382	-1.69360575712517	0.180994946035313	6.55256804150228e-22	4.54879273441088e-19
"ENSG00000170571"	"EMB"	347.503898305739	3.13561874058646	0.343688833137653	7.34335462906325e-22	4.93331301628617e-19
"ENSG00000103522"	"IL21R"	163.913307946097	2.84284316362681	0.312246596718507	7.9266618186749e-22	5.15877059486636e-19
"ENSG00000196663"	"TECPR2"	1818.23782888054	1.40117550923512	0.149791551390344	8.68219007478753e-22	5.47925122719773e-19
"ENSG00000121898"	"CPXM2"	2832.51509633205	2.05199633327506	0.222458807870474	9.38928120355933e-22	5.75121089250961e-19
"ENSG00000035664"	"DAPK2"	315.043654870891	-1.71607837817641	0.184500423662389	1.06069274077156e-21	6.31142486265959e-19
"ENSG00000156113"	"KCNMA1"	5480.80277756581	1.25423444768588	0.134691025379081	1.10148389517385e-21	6.37208433358071e-19
"ENSG00000164251"	"F2RL1"	593.150609067281	1.90759672592052	0.206599485700739	1.26664358222006e-21	7.00618068830728e-19
"ENSG00000172159"	"FRMD3"	176.418711158174	4.29548639709318	0.466598398717319	1.27837734637317e-21	7.00618068830728e-19
"ENSG00000162630"	"B3GALT2"	33.4213071281858	-4.66170745733618	0.506821091831854	1.49205514362693e-21	7.96757446696783e-19
"ENSG00000100558"	"PLEK2"	524.396707160069	2.92964818129898	0.325617469899771	2.1152535992553e-21	1.10130678645227e-18
"ENSG00000118407"	"FILIP1"	51.1856288279836	-3.48542141180772	0.394947451620787	1.61912245714985e-20	8.22435226648849e-18
"ENSG00000102683"	"SGCG"	221.446214825936	3.95758316667141	0.449324790868157	3.47141978566823e-20	1.7213282965792e-17
"ENSG00000108001"	"EBF3"	492.366807714633	2.03438125328831	0.232481593772705	7.27478728898191e-20	3.52336558326366e-17
"ENSG00000143786"	"CNIH3"	1002.98127085742	2.2371752823293	0.258712503509253	1.08560791781244e-19	5.13837965826405e-17
"ENSG00000115844"	"DLX2"	580.604726293119	4.25192817995055	0.489120149209607	1.22610465910755e-19	5.67441236234972e-17
"ENSG00000232593"	"KANTR"	196.850152246613	-2.04369781178457	0.236797275447906	2.04193630134775e-19	9.24464465475398e-17
"ENSG00000171680"	"PLEKHG5"	895.757011494804	2.32236735680833	0.271767222954785	2.1839288951446e-19	9.67712833410242e-17
"ENSG00000118526"	"TCF21"	96.209332635288	-3.25417344653603	0.383726987775946	2.48746797804461e-19	1.0792501689741e-16
"ENSG00000101282"	"RSPO4"	242.72722610551	5.14322394123784	0.600457447538038	3.33060796459755e-19	1.41557635654507e-16
"ENSG00000177283"	"FZD8"	2105.32440340338	3.97703037987387	0.466800937040833	4.30702117992605e-19	1.7939604618628e-16
"ENSG00000154864"	"PIEZO2"	140.335533429122	-3.43698839070579	0.410677378215474	7.88048506407856e-19	3.21801925381373e-16
"ENSG00000150991"	"UBC"	49448.6220223911	1.39759512501322	0.163397413943002	1.17502064517256e-18	4.70595768391612e-16
"ENSG00000115738"	"ID2"	4245.04521352581	1.5221963386128	0.178226986994347	1.29102381109898e-18	5.07299280942404e-16
"ENSG00000108551"	"RASD1"	11493.8943950582	7.21538112005936	0.89465629571525	2.00486644308783e-18	7.73210158217539e-16
"ENSG00000143469"	"SYT14"	743.303474328826	2.05935256040034	0.247583203396205	2.86948181689534e-18	1.08654233306659e-15
"ENSG00000123496"	"IL13RA2"	1424.7521731301	1.92760889189891	0.232818610151569	5.57030526327959e-18	2.05758088942913e-15
"ENSG00000157404"	"KIT"	465.885081385392	-2.44059143543967	0.300012428629051	5.63152360978875e-18	2.05758088942913e-15
"ENSG00000103175"	"WFDC1"	1966.03881784279	-2.279836162208	0.281846111016562	1.12899677274599e-17	4.02998945183555e-15
"ENSG00000158050"	"DUSP2"	393.49397403771	4.0840466200922	0.50182859016317	1.14169488936088e-17	4.02998945183555e-15
"ENSG00000116396"	"KCNC4"	1876.19438804413	2.16684141274199	0.268985508992183	1.92926840275206e-17	6.69649062595239e-15
"ENSG00000151136"	"ABTB3"	363.227565388231	7.08954269336505	0.910345921220784	2.13286338943301e-17	7.28180540136589e-15
"ENSG00000120337"	"TNFSF18"	168.063333507957	-4.44617000525083	0.552841495095077	3.05864437220486e-17	1.02740851121836e-14
"ENSG00000110203"	"FOLR3"	510.306361432435	4.1751616790613	0.521250506693026	3.45536963547983e-17	1.1422464766429e-14
"ENSG00000100380"	"ST13"	9586.86824480536	1.12043034476019	0.138313134606825	3.53930518162562e-17	1.15171202675836e-14
"ENSG00000143028"	"SYPL2"	761.11322341821	-1.54244431148401	0.19017019531087	4.66147486741305e-17	1.49353654751914e-14
"ENSG00000173848"	"NET1"	4872.57596425792	1.32504263960371	0.164574585578931	7.35734836310199e-17	2.32157783348427e-14
"ENSG00000163132"	"MSX1"	445.847954975896	2.02578172815925	0.258628212832709	1.6552122911703e-16	5.11745375283744e-14
"ENSG00000213025"	"COX20P1"	130.487617187296	4.75572404914686	0.607461514559241	1.67092507055097e-16	5.11745375283744e-14
"ENSG00000108352"	"RAPGEFL1"	127.066162133964	-1.52888853935788	0.192346303015143	1.7456128773782e-16	5.26871504119977e-14
"ENSG00000065621"	"GSTO2"	233.549133935309	2.4189417872814	0.31406152130347	1.91136061498806e-16	5.6865708811059e-14
"ENSG00000155511"	"GRIA1"	699.558575909014	-3.77912418370526	0.488600580449953	2.04078455101067e-16	5.98610972666877e-14
"ENSG00000148082"	"SHC3"	477.81163213636	1.82546811019051	0.232158157938422	2.1364502407164e-16	6.1796823212722e-14
"ENSG00000103888"	"CEMIP"	29792.5248460266	-2.87810058224788	0.377339420006373	2.20927425509918e-16	6.30278707351994e-14
"ENSG00000072041"	"SLC6A15"	357.952864592865	4.95648228209589	0.637131032582226	2.29199365653296e-16	6.45041349877775e-14
"ENSG00000106537"	"TSPAN13"	2682.3617351445	3.11080321856415	0.407851127435147	2.33288942665037e-16	6.47796735992275e-14
"ENSG00000164733"	"CTSB"	66415.2320389942	1.35038370771759	0.171026662270488	2.62322220391622e-16	7.18831916036307e-14
"ENSG00000172661"	"WASHC2C"	3634.03738647058	1.1511046943089	0.14776782786822	4.52843487517339e-16	1.22479460662806e-13
"ENSG00000287110"	"ACAD9-DT"	79.7244685547718	-2.97221373971657	0.395736823359698	5.44042050638869e-16	1.45259227520578e-13
"ENSG00000068831"	"RASGRP2"	37.160062640484	-2.60495603734109	0.346107997876827	5.70623646658803e-16	1.50427950193876e-13
"ENSG00000249669"	"CARMN"	639.754116767302	-1.83020434858968	0.236735190931666	5.97857021778109e-16	1.55637129194386e-13
"ENSG00000117600"	"PLPPR4"	598.3145338499	-2.53284837967496	0.336349429244115	6.05568096438311e-16	1.55698286128695e-13
"ENSG00000159399"	"HK2"	4983.64827926339	1.96347590352583	0.255468987939758	6.15780563027469e-16	1.56393243970855e-13
"ENSG00000197632"	"SERPINB2"	3982.16845368662	3.51051647456305	0.465435536628265	6.4759772683075e-16	1.62492412758761e-13
"ENSG00000122254"	"HS3ST2"	474.189502141549	6.67792540361939	0.903560925496353	7.36509095853096e-16	1.82601647979007e-13
"ENSG00000203805"	"PLPP4"	926.587919160481	1.78814411846621	0.232221255895318	8.3499044974717e-16	2.04582483605113e-13
"ENSG00000224699"	"LAMTOR5-AS1"	93.6670638768362	-2.82220431343677	0.378811067265352	8.72833902508982e-16	2.11367893647117e-13
"ENSG00000110876"	"SELPLG"	451.369850585753	2.01738245577137	0.264822792913209	9.1015614216277e-16	2.17872549617033e-13
"ENSG00000173917"	"HOXB2"	221.281656529462	2.06363678825095	0.272635241675684	1.17840964034894e-15	2.7888135420349e-13
"ENSG00000178031"	"ADAMTSL1"	3301.27587374327	2.20405256589924	0.293600918482758	1.35013366825845e-15	3.15931278372478e-13
"ENSG00000259972"	"ENSG00000259972"	85.3389486623863	-2.07340041691981	0.274860013352547	1.40101348738412e-15	3.24194520980685e-13
"ENSG00000139292"	"LGR5"	20.2166765265775	-4.67880785907699	0.624209411536125	2.13877225656488e-15	4.89473307859563e-13
"ENSG00000138623"	"SEMA7A"	12780.1403717789	1.98274708192531	0.263794911873657	2.16467312939415e-15	4.90016115138723e-13
"ENSG00000099290"	"WASHC2A"	3859.14154695538	1.16687234099296	0.153993968866245	2.42134439144781e-15	5.42224927917119e-13
"ENSG00000147234"	"FRMPD3"	151.469535384863	3.3618428932333	0.459118559478398	2.87029950141838e-15	6.35924015069566e-13
"ENSG00000172785"	"ZNG1A"	874.386583883252	1.93686155064438	0.258981365289282	3.22453895373929e-15	7.06886823690256e-13
"ENSG00000085063"	"CD59"	27074.0081697269	1.31065041429614	0.173574054810749	3.6729552434547e-15	7.96801728126953e-13
