"240313_ICP4"	"240313_n208"	"240501_ICP4"	"240501_RR_LL"	"240710_RR_LL"	"240814_ICP4"	"240814_RR_LL"	"240904_ICP4"	"240904_n208"	"240905_ICP4"	"240905_n208"	"240926_ICP4"
"ENSG00000000003"	522	2190	991	710	754	660	686	2799	2570	2759	2690	3746
"ENSG00000000005"	0	1	0	0	0	0	0	0	0	0	0	4
"ENSG00000000419"	1044	4549	1070	962	919	809	1087	4578	3437	4157	3630	3651
"ENSG00000000457"	166	690	197	150	221	139	186	691	1033	718	1052	877
"ENSG00000000460"	465	1622	216	139	81	161	171	1244	618	1075	652	272
"ENSG00000000938"	0	1	6	10	11	0	0	9	29	10	18	12
"ENSG00000000971"	2	60	16	36	18	19	21	99	83	101	81	85
"ENSG00000001036"	1721	7354	2032	1594	1815	2081	2361	9151	7495	8495	7700	7361
"ENSG00000001084"	392	1496	1037	501	930	520	384	1379	1989	1748	2135	3203
"ENSG00000001167"	1065	3856	1016	784	696	892	865	3872	2407	4487	2497	3913
"ENSG00000001460"	408	1542	523	444	490	388	606	1526	1157	1223	1471	1712
"ENSG00000001461"	2511	8790	5167	5416	5582	4878	5550	10294	13032	12506	17563	23545
"ENSG00000001497"	1218	4734	1013	768	684	784	1051	4258	2863	3277	2998	2523
"ENSG00000001561"	3	18	136	103	163	19	6	43	28	19	41	108
"ENSG00000001617"	245	832	307	184	393	245	181	1215	948	916	630	1852
"ENSG00000001626"	0	8	0	1	4	5	0	2	15	1	7	7
"ENSG00000001629"	1848	7266	2603	2245	2269	1819	2071	5151	6276	7332	7513	8053
"ENSG00000001630"	151	552	364	285	501	434	439	1371	933	653	612	996
"ENSG00000001631"	105	428	118	61	91	61	77	322	254	317	249	196
"ENSG00000002016"	159	752	191	177	128	144	163	1036	721	645	671	763
"ENSG00000002079"	0	1	9	0	0	4	0	7	6	3	8	10
"ENSG00000002330"	95	483	215	178	125	124	188	648	445	439	496	497
"ENSG00000002549"	1699	6976	2500	2147	2188	1739	1978	8143	6664	6788	5959	6904
"ENSG00000002586"	0	1	0	0	0	0	0	1	0	1	0	0
"ENSG00000002587"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000002726"	0	0	0	0	0	0	0	0	1	0	2	3
"ENSG00000002745"	14	17	92	60	51	11	3	101	19	72	67	109
"ENSG00000002746"	84	350	761	313	474	354	285	1226	1083	1181	1332	2715
"ENSG00000002822"	7	52	12	10	23	4	13	34	34	19	14	26
"ENSG00000002834"	13653	45536	16285	16720	14061	15321	18411	46476	37331	47254	50614	39909
"ENSG00000002919"	636	2577	631	845	732	692	888	2175	2374	2293	2545	2358
"ENSG00000002933"	0	11	6	41	31	0	0	8	19	0	16	3
"ENSG00000003056"	2164	9718	2243	1658	2378	1921	2541	9313	7387	6671	6063	5709
"ENSG00000003096"	17	107	97	39	49	42	43	166	130	125	126	121
"ENSG00000003137"	10	15	19	0	10	17	0	34	65	21	41	126
"ENSG00000003147"	0	5	6	2	3	0	0	10	2	6	2	13
"ENSG00000003249"	82	470	457	285	382	397	396	1107	918	899	1395	1368
"ENSG00000003393"	1361	5865	1696	1658	1569	1287	1589	5420	6510	6323	7352	5984
"ENSG00000003400"	29	101	112	40	54	40	32	140	221	184	315	114
"ENSG00000003402"	1393	5509	1494	1417	1946	1403	1498	4252	6381	4570	7785	5953
"ENSG00000003436"	667	3524	1102	738	984	773	914	3984	4253	3592	4536	3259
"ENSG00000003509"	222	837	187	184	231	209	180	1174	897	870	866	831
"ENSG00000003756"	1206	4951	1126	968	1136	792	1117	4816	4633	4508	4716	3844
"ENSG00000003987"	13	54	21	18	22	28	17	38	22	57	39	32
"ENSG00000003989"	0	9	39	4	0	3	4	12	16	15	13	12
"ENSG00000004059"	1303	5420	1801	1375	1427	1324	1417	6171	3956	4619	3739	4215
"ENSG00000004139"	121	446	182	93	90	94	134	420	266	369	268	342
"ENSG00000004142"	3254	13485	3395	2919	2456	3087	3809	14149	9653	12018	10708	9577
"ENSG00000004399"	3706	12990	4963	3364	4353	3594	3742	13786	13532	12018	11935	14632
"ENSG00000004455"	2439	10288	2624	2139	2013	2385	2892	11053	8032	10525	8513	6990
"ENSG00000004468"	0	3	0	0	0	0	0	3	3	7	6	9
"ENSG00000004478"	1653	7445	1576	1510	1278	1404	1740	6310	4991	6767	6223	5387
"ENSG00000004487"	2398	9718	1980	1481	1354	1531	2106	7501	5086	8499	5985	5198
"ENSG00000004534"	1566	6418	1245	888	1055	941	1164	5836	4832	4952	4199	4061
"ENSG00000004660"	348	1380	791	340	365	326	321	1490	972	798	682	804
"ENSG00000004700"	2289	10589	2315	1864	1972	1366	1543	6834	6906	7623	6426	4178
"ENSG00000004766"	600	2627	707	495	589	459	553	1983	1984	2125	1970	1763
"ENSG00000004776"	888	2463	1395	915	757	1589	1815	4303	2681	2690	2958	3755
"ENSG00000004777"	282	878	177	157	74	168	98	863	484	548	306	197
"ENSG00000004779"	1038	4918	1034	1078	965	1110	1269	5824	3971	4458	4215	3328
"ENSG00000004799"	0	4	4	0	0	0	0	1	15	13	3	34
"ENSG00000004809"	0	5	0	0	0	0	0	2	5	18	11	17
"ENSG00000004838"	13	93	14	14	9	21	14	51	32	46	52	35
"ENSG00000004846"	0	0	0	0	0	0	0	0	8	0	3	7
"ENSG00000004848"	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000004864"	569	2614	542	426	564	434	682	2099	1574	1544	1266	918
"ENSG00000004866"	379	1391	364	288	353	317	405	1381	1137	1430	1174	1385
"ENSG00000004897"	3448	14581	3250	2390	2791	2332	3205	9691	9595	14181	12717	9686
"ENSG00000004939"	0	1	0	0	0	0	0	2	0	0	3	0
"ENSG00000004948"	0	0	0	0	0	0	0	0	0	0	6	5
"ENSG00000004961"	946	4143	1213	1165	1006	844	1143	3427	3613	3306	4092	3392
"ENSG00000004975"	1170	3701	1263	737	985	1025	1123	4686	2932	2822	1840	2119
"ENSG00000005001"	0	0	6	0	2	0	0	0	4	0	0	2
