"240827_n6"	"240905_n6"	"241210_ICP4"	"241210_n6"	"241213_ICP4"	"241213_n6"	"241217_n6"
"ENSG00000000003"	3658	4189	4173	4118	5247	4240	3093
"ENSG00000000005"	0	0	0	0	2	0	0
"ENSG00000000419"	6400	6494	7617	8270	7062	5358	2988
"ENSG00000000457"	1248	1457	1505	933	1835	1116	498
"ENSG00000000460"	395	1413	467	598	431	743	191
"ENSG00000000938"	0	7	22	30	13	12	1
"ENSG00000000971"	46	75	118	71	93	64	58
"ENSG00000001036"	14288	13190	13132	15888	12823	10352	5633
"ENSG00000001084"	12964	10751	5358	6315	4658	8137	4154
"ENSG00000001167"	8732	6952	5488	3763	5449	6116	3705
"ENSG00000001460"	2149	1956	2919	1952	2431	1792	902
"ENSG00000001461"	29009	24379	30291	16986	27549	23616	11588
"ENSG00000001497"	3551	5562	3437	4368	4029	3757	2036
"ENSG00000001561"	38	57	107	55	120	76	12
"ENSG00000001617"	5190	4610	2859	5013	2647	3571	1985
"ENSG00000001626"	0	2	19	0	5	8	2
"ENSG00000001629"	12749	12495	9207	4586	8573	9237	5798
"ENSG00000001630"	2374	1020	1786	715	1077	805	1017
"ENSG00000001631"	390	368	237	170	281	185	214
"ENSG00000002016"	1165	1301	1239	950	1439	904	666
"ENSG00000002079"	41	21	84	31	15	10	14
"ENSG00000002330"	656	747	803	1337	881	500	296
"ENSG00000002549"	16619	14444	12141	13847	11883	10550	5680
"ENSG00000002586"	0	0	0	0	0	0	2
"ENSG00000002587"	0	0	0	0	2	4	0
"ENSG00000002726"	0	6	0	16	2	0	0
"ENSG00000002745"	120	153	29	42	46	64	15
"ENSG00000002746"	3520	2131	3128	2189	2456	1608	861
"ENSG00000002822"	30	45	43	46	30	36	21
"ENSG00000002834"	58259	74429	54783	52480	54893	51642	28932
"ENSG00000002919"	2888	3246	4132	3183	3977	3030	1546
"ENSG00000002933"	27	15	0	0	0	0	8
"ENSG00000003056"	13309	10658	11504	10044	9492	8730	5428
"ENSG00000003096"	192	174	239	205	172	214	112
"ENSG00000003137"	158	42	83	85	49	65	39
"ENSG00000003147"	0	13	42	10	14	17	5
"ENSG00000003249"	1863	1961	2884	3615	2343	1939	853
"ENSG00000003393"	10348	10275	9194	4836	8646	7832	4023
"ENSG00000003400"	239	247	361	246	258	221	159
"ENSG00000003402"	7427	8012	8360	4653	6789	5555	3656
"ENSG00000003436"	6719	5335	6057	4193	3748	3317	6418
"ENSG00000003509"	1443	1449	1352	1759	1805	1157	713
"ENSG00000003756"	5944	6155	6291	5649	6403	4402	2456
"ENSG00000003987"	78	63	90	123	55	78	40
"ENSG00000003989"	25	13	8	23	8	4	0
"ENSG00000004059"	5068	7311	4982	9051	5953	5266	2915
"ENSG00000004139"	679	439	377	431	348	341	332
"ENSG00000004142"	12763	17545	15776	18221	15478	12615	6753
"ENSG00000004399"	24575	21471	21589	22777	22626	21961	10911
"ENSG00000004455"	8066	12612	9735	11585	10820	8956	4720
"ENSG00000004468"	24	62	6	24	8	10	3
"ENSG00000004478"	7602	10114	7975	10026	10098	8137	3905
"ENSG00000004487"	6826	12175	7063	7407	8041	7926	3129
"ENSG00000004534"	7219	8494	6456	8285	7259	5692	3205
"ENSG00000004660"	2348	1294	3064	2267	2036	1489	868
"ENSG00000004700"	7769	11308	5522	3585	5155	6170	4599
"ENSG00000004766"	2416	3218	2761	2256	3005	2715	2007
"ENSG00000004776"	5723	3340	4210	5756	3347	2908	1216
"ENSG00000004777"	528	778	395	431	324	319	280
"ENSG00000004779"	3346	5506	4391	6153	5946	4487	2708
"ENSG00000004799"	19	5	36	41	15	7	8
"ENSG00000004809"	41	33	0	26	13	4	2
"ENSG00000004838"	49	117	20	61	24	19	41
"ENSG00000004846"	5	0	0	3	6	9	0
"ENSG00000004848"	8	8	0	0	0	0	0
"ENSG00000004864"	2993	1973	2087	1742	1621	1419	933
"ENSG00000004866"	1870	1736	2021	1883	2241	1359	1248
"ENSG00000004897"	14287	19256	15871	7550	13888	13027	7801
"ENSG00000004939"	34	16	11	4	1	2	0
"ENSG00000004948"	13	0	7	0	0	0	0
"ENSG00000004961"	4939	5544	6873	5359	5794	4697	2569
"ENSG00000004975"	6806	4175	6840	6966	4874	4073	2353
"ENSG00000005001"	0	5	0	6	1	18	2
"ENSG00000005007"	16440	18831	19015	13525	17484	13785	7329
"ENSG00000005020"	3416	3685	2492	1684	2124	2498	1765
"ENSG00000005022"	8667	21495	11223	15642	13288	12768	5551
"ENSG00000005059"	789	1145	636	1093	721	841	418
"ENSG00000005073"	2651	3918	5484	2596	6516	2370	1301
"ENSG00000005075"	1930	3078	2484	3737	2812	2183	1072
"ENSG00000005100"	3176	5373	2945	1639	2666	3013	1788
"ENSG00000005102"	5	7	18	15	7	8	2
"ENSG00000005108"	35	27	44	31	32	17	32
"ENSG00000005156"	2403	3408	1991	1660	2304	2255	1540
"ENSG00000005175"	5678	6762	5299	3673	5394	4654	2664
"ENSG00000005187"	32	43	38	21	37	16	13
"ENSG00000005189"	1105	1286	701	1012	922	771	331
"ENSG00000005194"	4850	6399	6658	6427	6033	4704	2233
"ENSG00000005206"	2254	2491	2515	2692	2230	1670	1004
"ENSG00000005238"	13772	10354	14140	13577	12497	9977	5225
"ENSG00000005243"	6960	5806	7884	11494	9313	6001	4120
"ENSG00000005249"	2361	3992	1566	1213	1573	1924	959
"ENSG00000005302"	2901	4558	2785	2718	2751	2567	1758
"ENSG00000005339"	8267	10069	8464	3003	6302	6186	3416
"ENSG00000005379"	100	121	15	88	47	64	38
"ENSG00000005381"	21	7	20	66	42	9	3
"ENSG00000005421"	0	1	16	11	3	0	0
"ENSG00000005436"	1258	1133	1491	727	1158	840	786
"ENSG00000005448"	1112	1948	1532	2103	1754	1207	662
"ENSG00000005469"	3059	3921	3235	2160	2689	2704	2434
"ENSG00000005471"	691	357	242	211	134	146	170
"ENSG00000005483"	9350	7672	8268	1923	6283	5556	3990
"ENSG00000005486"	5301	4409	7007	9103	6512	4606	2244
"ENSG00000005513"	461	563	41	525	45	365	116
"ENSG00000005700"	9465	11164	7969	3773	7065	7632	5367
"ENSG00000005801"	3322	2556	3863	2571	3514	2669	1623
"ENSG00000005810"	6445	8309	5503	1680	4964	6193	3483
"ENSG00000005812"	3788	4275	4125	1708	3088	3344	2386
"ENSG00000005844"	1	5	0	11	0	25	2
"ENSG00000005882"	2432	1420	2750	3628	2945	1821	1334
"ENSG00000005884"	32356	35298	32608	31127	29852	27895	16759
"ENSG00000005889"	2998	2946	3325	1274	2859	2392	1554
"ENSG00000005893"	34046	31963	28523	21382	27383	26468	23363
"ENSG00000005961"	53	26	8	6	16	4	4
"ENSG00000005981"	0	1	0	0	0	7	3
"ENSG00000006007"	13365	12128	11922	11818	11714	10721	6863
"ENSG00000006015"	1808	1802	1953	3256	1925	1329	964
"ENSG00000006016"	1336	786	1533	2364	1883	1360	964
"ENSG00000006025"	914	713	538	740	628	522	365
"ENSG00000006042"	8477	10609	10440	11707	10492	8107	5902
"ENSG00000006047"	36	46	0	9	0	10	10
"ENSG00000006059"	1	0	9	0	0	0	0
"ENSG00000006062"	2115	1138	3670	1926	4829	2136	765
"ENSG00000006071"	0	5	0	0	0	0	2
"ENSG00000006116"	0	0	0	0	0	2	0
"ENSG00000006118"	3785	2902	4261	4796	2996	2279	1632
"ENSG00000006125"	33956	43786	29267	23430	29933	32844	19100
"ENSG00000006128"	37	72	47	35	63	47	2
"ENSG00000006194"	1884	1605	1651	1745	1596	1091	640
"ENSG00000006210"	47	23	73	12	40	12	1
"ENSG00000006282"	7356	7672	8143	11500	9709	6969	3059
"ENSG00000006283"	97	11	110	50	71	64	15
"ENSG00000006327"	30063	36058	50179	53950	43676	27655	15585
"ENSG00000006377"	0	12	0	0	6	1	2
"ENSG00000006432"	794	1416	1001	469	856	1431	423
"ENSG00000006451"	28064	24985	31798	28099	24875	22844	10875
"ENSG00000006453"	674	884	1090	953	1182	955	299
"ENSG00000006459"	1972	1004	3245	575	2352	825	666
"ENSG00000006468"	2516	2215	1103	1011	928	1178	986
"ENSG00000006530"	2835	3618	2522	2253	2734	2382	1319
"ENSG00000006534"	4254	3005	3807	4740	3736	3067	1634
"ENSG00000006555"	0	0	9	0	0	0	0
"ENSG00000006576"	13456	13451	10823	5492	7908	10492	7205
"ENSG00000006606"	183	125	395	249	191	137	68
"ENSG00000006607"	10193	8941	7701	4364	5937	6126	3335
"ENSG00000006611"	0	11	9	11	9	3	0
"ENSG00000006625"	916	1107	1406	1158	1087	796	508
"ENSG00000006634"	3026	3090	1588	1439	1468	1736	1021
"ENSG00000006638"	349	270	245	507	179	190	133
"ENSG00000006652"	1162	786	726	880	889	610	479
"ENSG00000006659"	0	0	0	0	0	0	0
"ENSG00000006695"	1984	1729	1597	1143	1708	1516	727
"ENSG00000006704"	3110	2127	3112	2751	2476	1691	784
"ENSG00000006712"	8268	10201	8857	10532	9680	6905	3530
"ENSG00000006715"	10030	8093	10207	6065	8587	8354	5351
"ENSG00000006740"	77	57	51	100	99	89	28
"ENSG00000006744"	11658	14351	10228	11999	10422	10150	5235
"ENSG00000006747"	1634	1806	752	559	884	1048	357
"ENSG00000006756"	1922	1745	1816	1574	1905	1474	688
"ENSG00000006757"	472	656	448	780	602	518	229
"ENSG00000006788"	0	2	0	0	0	7	1
"ENSG00000006831"	12353	12631	14149	8966	12405	10234	5307
"ENSG00000006837"	116	65	110	119	53	77	33
"ENSG00000007001"	0	0	0	21	11	0	1
"ENSG00000007038"	0	0	0	0	7	0	3
"ENSG00000007047"	6816	4807	6809	6427	5579	4167	2823
"ENSG00000007062"	2	0	7	8	1	21	2
"ENSG00000007080"	3824	5729	4699	7525	5144	4082	2536
"ENSG00000007129"	0	0	0	0	0	0	0
"ENSG00000007168"	19604	24533	21151	13603	20827	18426	9428
"ENSG00000007171"	2	7	0	0	7	2	0
"ENSG00000007174"	0	2	16	15	17	15	7
"ENSG00000007202"	19795	22012	20934	15119	19716	18623	10604
"ENSG00000007216"	0	0	2	11	0	3	0
"ENSG00000007237"	1243	814	2247	1538	1786	1514	544
"ENSG00000007255"	191	171	286	485	400	245	77
"ENSG00000007264"	33	3	22	38	26	10	2
"ENSG00000007306"	0	0	18	0	2	0	0
"ENSG00000007312"	79	32	105	117	60	66	33
"ENSG00000007314"	56	32	68	43	5	1	16
"ENSG00000007341"	2269	1716	2495	1491	2117	1694	1270
"ENSG00000007350"	0	4	8	0	0	0	0
"ENSG00000007372"	18	13	5	14	10	38	0
"ENSG00000007376"	2736	3631	3566	4468	3156	2366	1202
"ENSG00000007384"	4828	5594	6005	7518	5839	4451	2724
"ENSG00000007392"	3431	3445	3584	4792	3527	2361	1409
"ENSG00000007402"	39	42	28	81	60	43	30
"ENSG00000007516"	105	163	77	97	52	52	39
"ENSG00000007520"	2269	3525	3516	4793	3448	2253	1392
"ENSG00000007541"	2563	2566	2804	3429	3220	2068	1319
"ENSG00000007545"	1883	1497	1817	968	1649	1026	770
"ENSG00000007866"	7822	8274	8966	7876	7904	5876	3930
"ENSG00000007908"	12	4	11	0	3	11	0
"ENSG00000007923"	6540	7071	6510	5976	5633	5077	2857
"ENSG00000007933"	23	9	18	4	0	10	4
"ENSG00000007944"	1784	1905	1483	1145	931	1213	572
"ENSG00000007952"	0	19	3	35	24	28	7
"ENSG00000007968"	21	478	119	73	146	207	25
"ENSG00000008018"	11404	21265	14057	18632	16569	13731	7719
"ENSG00000008056"	122	140	100	206	82	52	39
"ENSG00000008083"	3078	1930	1625	781	1389	1290	936
"ENSG00000008086"	1057	1485	689	335	506	811	503
"ENSG00000008118"	573	1480	378	591	415	417	421
"ENSG00000008128"	98	137	130	103	79	48	42
"ENSG00000008130"	5927	7004	7136	7610	6621	5632	3032
"ENSG00000008196"	0	0	0	0	0	0	0
"ENSG00000008197"	0	8	0	0	0	0	0
"ENSG00000008226"	0	10	30	5	15	9	7
"ENSG00000008256"	11398	12486	7887	7787	7500	7959	4046
"ENSG00000008277"	92	143	62	72	72	101	30
"ENSG00000008282"	9626	13017	10452	8014	8774	8351	7084
"ENSG00000008283"	3515	3183	3138	3646	2872	2690	1396
"ENSG00000008294"	30332	23358	22987	13894	17057	17461	9783
"ENSG00000008300"	910	657	952	599	826	671	324
"ENSG00000008311"	6137	4784	2147	2113	2152	2601	2201
"ENSG00000008323"	21	25	33	22	21	18	1
"ENSG00000008324"	933	1156	898	1214	982	762	446
"ENSG00000008382"	363	431	420	643	364	301	285
"ENSG00000008394"	18494	19626	16910	19345	15240	14637	12532
"ENSG00000008405"	4913	4990	5377	3772	4754	3963	1760
"ENSG00000008438"	4	5	0	0	0	0	3
"ENSG00000008441"	11316	10964	9077	6159	7574	8659	5903
"ENSG00000008513"	12522	13068	11769	6451	9266	9894	4873
"ENSG00000008516"	24	32	16	10	17	7	10
"ENSG00000008517"	498	251	870	727	408	259	145
"ENSG00000008710"	11069	9859	10020	4907	9893	8509	4846
"ENSG00000008735"	91	84	383	328	167	104	7
"ENSG00000008838"	4494	7904	6535	6938	6088	5531	2876
"ENSG00000008853"	2461	2527	2447	2022	2170	1730	919
"ENSG00000008869"	3130	3835	3212	1694	3165	2937	2074
"ENSG00000008952"	21877	21285	22547	14515	18524	17253	10531
"ENSG00000008988"	36098	57203	44726	64500	49299	37632	23850
"ENSG00000009307"	78167	86458	78253	49371	69438	68764	43722
"ENSG00000009335"	18001	24071	14494	9945	13764	15634	9657
"ENSG00000009413"	9704	7056	8176	1957	6828	5980	4329
"ENSG00000009694"	32	1	27	6	31	20	33
"ENSG00000009709"	0	0	0	0	0	11	0
"ENSG00000009724"	66	67	36	63	39	50	42
"ENSG00000009765"	0	0	8	10	0	0	0
"ENSG00000009780"	1129	725	975	984	821	683	494
"ENSG00000009790"	16	4	0	0	5	0	3
"ENSG00000009830"	8875	7509	8667	8277	8320	6673	3475
"ENSG00000009844"	7458	9161	7011	5113	7220	7292	4463
"ENSG00000009950"	36	37	24	90	56	31	3
"ENSG00000009954"	16416	24033	18101	8178	15162	14514	7160
"ENSG00000010017"	8011	6969	7635	5126	6682	6345	3427
"ENSG00000010030"	31	23	104	136	68	56	12
"ENSG00000010072"	2616	2195	1795	1396	1776	1853	1137
"ENSG00000010165"	6421	8025	6549	5553	6456	4980	2941
"ENSG00000010219"	881	1026	1027	1395	1224	822	526
"ENSG00000010244"	10207	14455	11877	11265	10391	9126	6051
"ENSG00000010256"	14776	21682	21922	29129	20960	16793	10975
"ENSG00000010270"	3990	6647	4498	5161	4101	4066	2020
"ENSG00000010278"	7876	8609	12050	14133	7285	6994	5218
"ENSG00000010282"	0	3	0	10	0	1	0
"ENSG00000010292"	4812	16110	3927	4559	5382	7907	1754
"ENSG00000010295"	6997	6297	5551	8420	5315	3803	2613
"ENSG00000010310"	319	148	336	377	137	130	69
"ENSG00000010318"	452	363	499	466	452	274	253
"ENSG00000010319"	74	59	17	8	10	2	6
"ENSG00000010322"	8905	8468	9549	9935	11100	7633	3870
"ENSG00000010327"	6	13	0	0	0	2	1
"ENSG00000010361"	598	984	681	835	808	493	294
"ENSG00000010379"	57	52	40	23	50	45	31
"ENSG00000010404"	1985	1449	2046	1543	1340	1222	1479
"ENSG00000010438"	1150	2764	1448	2181	894	820	642
"ENSG00000010539"	1504	1447	1740	1004	1803	1250	733
"ENSG00000010610"	88	35	45	50	39	42	59
"ENSG00000010626"	426	500	725	716	639	476	271
"ENSG00000010671"	12	19	0	0	2	1	0
"ENSG00000010704"	2116	2243	1757	1291	1641	1512	1014
"ENSG00000010803"	3106	3620	2742	2901	2742	2251	1407
"ENSG00000010810"	6744	5730	6710	5608	6093	4451	2106
"ENSG00000010818"	12576	10599	10191	3054	7492	7326	5170
"ENSG00000010932"	31	2	24	3	6	19	0
"ENSG00000011007"	11361	12422	11328	8586	10968	9283	5920
