"gene_id"	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSG00000177283"	"FZD8"	8669.61088312711	5.9951497207009	0.230887505168498	7.63220996878119e-150	1.63741432670232e-145
"ENSG00000225630"	"MTND2P28"	1148.90024372485	-6.37773300953967	0.252235186281958	3.36386346748762e-142	3.60841634157397e-138
"ENSG00000148798"	"INA"	7808.46380487416	6.28935089019959	0.258566799667078	7.66261787499737e-132	5.47979346300645e-128
"ENSG00000175899"	"A2M"	2736.86314658919	-8.03577434581432	0.347266797084427	8.01076007853609e-120	4.29657116812283e-116
"ENSG00000104722"	"NEFM"	6855.78536185245	5.84375590114242	0.25850258387583	2.16788996075539e-114	9.30198224360923e-111
"ENSG00000111981"	"ULBP1"	13873.8755027363	6.67530470164895	0.305632679807276	6.90953172581611e-107	2.47061822742765e-103
"ENSG00000108551"	"RASD1"	11658.5938768348	7.6962706592507	0.361035381741386	4.2232979634905e-102	1.29438049298179e-98
"ENSG00000179388"	"EGR3"	5537.46112486115	8.5511553041903	0.415823157738147	1.6203824478101e-95	4.34546062941475e-92
"ENSG00000204388"	"HSPA1B"	9086.99977109323	3.64990699027371	0.191301381838192	8.26221225304896e-83	1.96952779641014e-79
"ENSG00000170345"	"FOS"	4993.73380836288	6.14032620077937	0.326619504819711	4.88118459736814e-80	1.04720934351936e-76
"ENSG00000153094"	"BCL2L11"	4540.24788367629	5.78814145445548	0.326306818976636	1.14063655918061e-71	2.2246560673328e-68
"ENSG00000120875"	"DUSP4"	2622.41042948434	4.66002609564368	0.266944959911149	7.87888084381533e-70	1.40861258019345e-66
"ENSG00000001617"	"SEMA3F"	1569.55996432867	3.55171444746258	0.20589597562381	2.48498545179061e-68	4.10099060636275e-65
"ENSG00000115844"	"DLX2"	1482.1928910644	5.55721973869529	0.322647072529791	8.17049192291231e-68	1.25206952652972e-64
"ENSG00000162772"	"ATF3"	4689.01036743392	5.94620517099053	0.352468042294185	4.31031020097177e-65	6.16489300344322e-62
"ENSG00000278828"	"H3C10"	1540.96450938338	5.50857395038857	0.327607209605691	8.54808687665821e-65	1.14619159907391e-61
"ENSG00000205002"	"AARD"	208.257286316862	-4.81679795389565	0.296839488904469	9.10783844277786e-61	1.14940921147857e-57
"ENSG00000106236"	"NPTX2"	2542.8152124396	6.37070514563702	0.396254668413211	2.44110611401296e-59	2.90952725389078e-56
"ENSG00000124212"	"PTGIS"	789.711314026764	-3.84377059568412	0.240600210859706	4.01976972885932e-59	4.53895472436568e-56
"ENSG00000092068"	"SLC7A8"	7104.98587258623	4.14183897408701	0.262391460057824	8.49833111385426e-58	9.11615978583146e-55
"ENSG00000184678"	"H2BC21"	2894.26960047719	4.89577370552681	0.311627352413706	3.76135706777596e-57	3.84267402533645e-54
"ENSG00000204389"	"HSPA1A"	11135.5659121466	3.34600923256921	0.213469218101399	5.14408796031518e-57	5.01642105002736e-54
"ENSG00000176692"	"FOXC2"	1116.65300679594	4.04728842834402	0.259054554461977	1.07567917045801e-56	1.0033748227394e-53
"ENSG00000171766"	"GATM"	952.433570983342	7.02074304136612	0.447997585182619	1.56489321223124e-56	1.39888412396704e-53
"ENSG00000143434"	"SEMA6C"	1838.84795194062	3.90067201337689	0.250736347378225	3.03336075613887e-56	2.60310886648813e-53
"ENSG00000106537"	"TSPAN13"	3476.82851346211	3.39802802801783	0.219288892101791	8.36254767230259e-56	6.90038837544537e-53
"ENSG00000158158"	"CNNM4"	4093.52818990413	3.29386517009056	0.213151250595365	1.64189133595556e-55	1.30463469339224e-52
"ICP4"	"ICP4"	113568.180547833	18.6506560860983	1.21407586401964	2.03506764843573e-54	1.55929790462643e-51
"ENSG00000122877"	"EGR2"	3192.02166571992	4.9282433050557	0.322780124164976	3.71313950193022e-54	2.74695499566935e-51
"ENSG00000157766"	"ACAN"	1235.46387573444	-5.31472970294746	0.348028812242623	4.60732313117735e-54	3.29485034854263e-51
"ENSG00000118785"	"SPP1"	6237.12646934834	5.55469816811592	0.365509151604263	1.66975633831643e-53	1.15557911233034e-50
"ENSG00000162413"	"KLHL21"	21651.3489212857	3.26918806133109	0.218434904063356	2.78080027062275e-52	1.86435278143564e-49
"ENSG00000180573"	"H2AC6"	3901.21686443239	3.98926697170774	0.267135968047198	4.2232977665018e-52	2.74565546310696e-49
"ENSG00000204291"	"COL15A1"	5399.50570033137	-4.53923872595762	0.305307364577025	1.2822542242034e-51	8.09102415472344e-49
"ENSG00000158406"	"H4C8"	1428.63783984945	4.66680544160965	0.317015792007099	1.20384906456191e-50	7.37925080888892e-48
"ENSG00000166016"	"ABTB2"	5610.81832880088	3.54908972155517	0.241936413051965	2.21168474718429e-50	1.318041237947e-47
"ENSG00000084710"	"EFR3B"	1480.34732821267	3.4028667586855	0.23375023831582	1.1663330670718e-49	6.76284043809684e-47
"ENSG00000165731"	"RET"	863.70156199121	5.53456553214779	0.382137859669928	6.83119362754813e-49	3.85674810751099e-46
"ENSG00000106003"	"LFNG"	2240.12217074701	3.50835822919253	0.244796535205742	3.04363972775767e-48	1.67431401844392e-45
"ENSG00000163235"	"TGFA"	676.967585710431	3.36917751063794	0.235456780704901	4.30178488466563e-48	2.30726232289041e-45
"ENSG00000273802"	"H2BC8"	709.611977977912	5.337111830043	0.372114257868805	4.57849877779694e-48	2.39578323850867e-45
"ENSG00000133874"	"RNF122"	653.404193822708	3.87002751818294	0.274308343900822	7.1106369500572e-47	3.63218107444112e-44
"ENSG00000166592"	"RRAD"	1623.8053712477	6.37109287943701	0.456950685242782	2.21654002868087e-45	1.10589883198417e-42
"ENSG00000115738"	"ID2"	9060.44593729996	2.48354369226719	0.1803804382405	1.08118021485214e-44	5.27173643850859e-42
"ENSG00000125398"	"SOX9"	2468.57513945513	3.87664792027635	0.282360662564505	1.42126434465447e-44	6.77595672227047e-42
"ENSG00000154928"	"EPHB1"	1192.79186735644	3.30610179932415	0.240769741597516	1.48043006200256e-44	6.90459707613107e-42
"ENSG00000130222"	"GADD45G"	860.817911799664	6.50779467892644	0.475498553485061	7.91998449023875e-44	3.61522015433154e-41
"ENSG00000164308"	"ERAP2"	705.140441458822	-3.88527082036666	0.285662282980464	8.29391583496388e-44	3.7070347984024e-41
"ENSG00000288649"	"ACTL10"	1088.0843894554	4.80955473075091	0.354827164491497	2.02585633504956e-43	8.86994322697005e-41
"ENSG00000143816"	"WNT9A"	1175.43324711784	4.3445588241511	0.322402319064222	4.82995411773731e-43	2.07243671283873e-40
"ENSG00000120738"	"EGR1"	30848.8458342943	3.99187109098478	0.297051175046892	7.55503289524958e-43	3.17815050460165e-40
"ENSG00000168621"	"GDNF"	3541.68171428997	4.53724931404776	0.337753586842722	9.12278479461728e-43	3.76385048045614e-40
"ENSG00000050628"	"PTGER3"	1201.02123351099	6.71493193236215	0.50064979272854	3.31347293422281e-42	1.34126883643049e-39
"ENSG00000171385"	"KCND3"	318.333553424151	-4.28310545639658	0.322214237059825	5.55900376012366e-42	2.20857160499431e-39
"ENSG00000138166"	"DUSP5"	11380.0927349899	3.2891904934257	0.247457029038906	5.77731182932741e-42	2.25357178157073e-39
"ENSG00000155511"	"GRIA1"	1187.04630813608	-3.96076035486362	0.298850095302817	9.02428333015851e-42	3.45726740295037e-39
"ENSG00000148842"	"CNNM2"	3138.1671719442	3.60134626476661	0.27204177347863	1.13206014883256e-41	4.26091551457083e-39
"ENSG00000143786"	"CNIH3"	1526.01078029188	2.69574732354425	0.204307550963096	2.30725002248325e-41	8.53443827281994e-39
"ENSG00000163251"	"FZD5"	1005.67739755079	4.18370228927204	0.319208254782586	6.44281517177132e-41	2.34278231686749e-38
"ENSG00000168389"	"MFSD2A"	968.039832580837	3.2225440691176	0.245839119481479	6.65281794675331e-41	2.37882593716076e-38
"ENSG00000158050"	"DUSP2"	1118.47540713781	5.51293219120989	0.419211486065656	7.1495824875774e-41	2.51454332276206e-38
"ENSG00000221890"	"NPTXR"	3367.667925528	3.42866470834269	0.261741888792071	7.28032633637793e-41	2.51922776162342e-38
"ENSG00000173530"	"TNFRSF10D"	12438.0743976182	2.61243069794169	0.199471188181986	8.68528061685777e-41	2.9576827040328e-38
