"gene_id"	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSG00000175899"	"A2M"	2878.78356401049	-6.43266766918652	0.206311639440129	4.17794974577273e-215	7.78310258140001e-211
"ENSG00000187653"	"TMSB4XP8"	1779.32190231197	-5.51009449555503	0.183391472457596	3.65916761307474e-200	3.40833167319847e-196
"ENSG00000225630"	"MTND2P28"	1198.21118177779	-5.93636227789037	0.225212788246403	7.05670566207767e-155	4.38197899262817e-151
"ENSG00000240694"	"PNMA2"	483.071931670992	-5.93024144843182	0.27289773482302	1.7912176891774e-106	8.34214858292143e-103
"ENSG00000197632"	"SERPINB2"	3758.52788334325	4.02367650760426	0.194372920846667	9.24408221289204e-97	3.44416015087932e-93
"ENSG00000181072"	"CHRM2"	1513.09321107186	-3.56406220971838	0.183246748850939	1.3658192066577e-85	4.24064100013771e-82
"ENSG00000154330"	"PGM5"	361.714644532275	-5.03784405191279	0.260282949176932	2.40696352819158e-85	6.40561765238298e-82
"ENSG00000002933"	"TMEM176A"	365.549429415788	-6.2462856339173	0.322844197395725	3.96140814687738e-85	9.22463404602234e-82
"ENSG00000103888"	"CEMIP"	46934.6396767782	-3.14654618551545	0.175133305058584	1.79103558203681e-73	3.70724465086263e-70
"ENSG00000164764"	"SBSPON"	312.495797798782	-5.26769571555744	0.29708038865966	3.17683760567215e-72	5.91813077560665e-69
"ENSG00000106538"	"RARRES2"	1246.65907061731	-4.89136707376794	0.282324077530112	4.03661127313095e-69	6.83618467337786e-66
"ENSG00000204253"	"HNRNPCP2"	289.289139863793	-4.74765453904854	0.276294285929593	4.95413174642301e-68	7.69087669200952e-65
"ENSG00000092068"	"SLC7A8"	3592.39217903212	3.77965753003036	0.230778268993727	1.00123725966237e-61	1.43477299309618e-58
"ENSG00000105825"	"TFPI2"	2343.22253860176	2.81261240111518	0.175273655417832	1.90781307777123e-59	2.53861784470002e-56
"ENSG00000198759"	"EGFL6"	482.076797619577	-4.31031193472126	0.270564776069181	7.52337722618966e-59	9.34353295644581e-56
"ENSG00000163041"	"H3-3A"	2465.32606637875	3.06071468400175	0.192313371128436	2.26167585979183e-58	2.63329747450387e-55
"ENSG00000164308"	"ERAP2"	726.415313370527	-3.4107605238022	0.214575180608054	3.38170131976344e-58	3.70574787563959e-55
"ENSG00000226084"	"RPL17P6"	350.570948657945	-3.65011192840666	0.230208785342539	5.35509653849575e-58	5.54222741197985e-55
"ENSG00000171385"	"KCND3"	316.596108811478	-5.02158091133525	0.320534439714101	3.35568158207224e-57	3.29015748381178e-54
"ENSG00000205002"	"AARD"	219.161060294621	-3.91621078741379	0.253379880239895	2.11657523979722e-55	1.89917978254654e-52
"ENSG00000254612"	"DNAJB6P1"	257.554404053021	-3.56871614234028	0.230548651109087	2.14089728023391e-55	1.89917978254654e-52
"ENSG00000198948"	"MFAP3L"	452.273748273665	4.03735438920165	0.262128152323827	4.19101443236485e-55	3.54883672093294e-52
"ENSG00000073756"	"PTGS2"	860.820063820353	3.75793869975349	0.246432252768614	6.14910144540179e-54	4.9805048185387e-51
"ENSG00000158050"	"DUSP2"	483.818984583164	4.96963163354606	0.328309460116242	1.2111795944691e-53	9.40127694390199e-51
"ENSG00000120337"	"TNFSF18"	295.426475876916	-4.99225796847667	0.331468587166401	3.82227972504692e-53	2.84820995991597e-50
"ENSG00000141469"	"SLC14A1"	151.668378618711	-4.95421058980663	0.334399413042652	1.53615033827111e-51	1.10065171737125e-48
"ENSG00000213399"	"RPS2P17"	158.295441172219	-5.62542877480988	0.391858155755239	1.39604785586011e-48	9.63221315067335e-46
